Unnamed: 0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,ppg,opp,Games,Receiving,Fantasy,Fantasy.1,Fantasy.2,Fantasy.3
,Player,Tm,FantPos,,,G,Tgt,FantPt,PPR,PosRank,OvRank
5.0,Tyreek Hill*+,KAN,WR,21.93,9.0,15,135,242,328.9,2,6
16.0,Stefon Diggs*+,BUF,WR,20.54,10.38,16,166,202,328.6,3,17
19.0,Calvin Ridley,ATL,WR,18.77,9.53,15,143,192,281.5,4,20
32.0,DeAndre Hopkins*,ARI,WR,17.99,10.0,16,160,173,287.8,10,32
27.0,A.J. Brown*,TEN,WR,17.68,7.57,14,106,178,247.5,9,28
50.0,Keenan Allen *,LAC,WR,17.51,10.5,14,147,145,245.1,18,50
65.0,Will Fuller,HOU,WR,17.17,6.82,11,75,136,188.9,24,64
23.0,Justin Jefferson *,MIN,WR,17.14,7.81,16,125,186,274.2,6,24
20.0,D.K. Metcalf*,SEA,WR,16.96,8.06,16,129,188,271.3,5,21
25.0,Adam Thielen,MIN,WR,16.93,7.2,15,108,180,254.0,7,26
34.0,Tyler Lockett,SEA,WR,16.59,8.25,16,132,165,265.4,11,34
38.0,Allen Robinson,CHI,WR,16.43,9.44,16,151,161,262.9,12,38
144.0,Julio Jones,ATL,WR,16.23,7.56,9,68,95,146.1,53,
76.0,Chris Godwin,TAM,WR,15.92,7.0,12,84,126,191.0,30,75
26.0,Mike Evans,TAM,WR,15.54,6.81,16,109,179,248.6,8,27
44.0,Brandin Cooks,HOU,WR,15.47,7.93,15,119,151,232.0,16,44
106.0,Brandon Aiyuk,SFO,WR,15.38,8.0,12,96,125,184.5,33,
40.0,Robert Woods,LAR,WR,15.32,8.06,16,129,155,245.1,13,40
64.0,Terry McLaurin,WAS,WR,14.92,8.93,15,134,137,223.8,23,63
51.0,Amari Cooper,DAL,WR,14.8,8.12,16,130,145,236.8,19,51
70.0,Diontae Johnson,PIT,WR,14.79,9.6,15,144,134,221.8,26,69
177.0,Antonio Brown,TAM,WR,14.64,7.75,8,62,72,117.1,66,
63.0,JuJu Smith-Schuster,PIT,WR,14.63,8.0,16,128,137,234.1,22,62
118.0,Jamison Crowder,NYJ,WR,14.33,7.42,12,89,113,172.0,38,
43.0,Marvin Jones,DET,WR,14.24,7.19,16,115,152,227.8,15,43
67.0,Curtis Samuel,CAR,WR,14.14,6.47,15,97,135,212.1,25,66
49.0,D.J. Moore,CAR,WR,14.1,7.87,15,118,146,211.5,17,49
72.0,Robby Anderson,CAR,WR,14.01,8.5,16,136,129,224.1,27,71
110.0,Cooper Kupp,LAR,WR,13.91,8.27,15,124,117,208.7,34,
105.0,Cole Beasley,BUF,WR,13.83,7.13,15,107,126,207.5,31,
75.0,Corey Davis,TEN,WR,13.67,6.57,14,92,126,191.4,29,74
53.0,CeeDee Lamb,DAL,WR,13.61,6.94,16,111,144,217.7,20,53
141.0,Sterling Shepard,NYG,WR,13.54,7.5,12,90,97,162.5,52,
42.0,Chase Claypool,PIT,WR,13.43,6.81,16,109,153,214.9,14,42
255.0,Kenny Golladay,DET,WR,13.16,6.4,5,32,46,65.8,101,
115.0,Tyler Boyd,CIN,WR,12.84,7.33,15,110,114,192.6,37,
112.0,Jarvis Landry,CLE,WR,12.53,6.73,15,101,116,188.0,35,
202.0,Odell Beckham Jr.,CLE,WR,12.4,6.14,7,43,64,86.8,76,
74.0,Tee Higgins,CIN,WR,12.16,6.75,16,108,128,194.6,28,73
260.0,Michael Thomas,NOR,WR,11.99,7.86,7,55,44,83.9,103,
135.0,DeVante Parker,MIA,WR,11.88,7.36,14,103,103,166.3,46,
137.0,DJ Chark,JAX,WR,11.82,7.15,13,93,101,153.6,48,
133.0,Emmanuel Sanders,NOR,WR,11.77,5.86,14,82,104,164.8,45,
62.0,Nelson Agholor,LVR,WR,11.6,5.12,16,82,138,185.6,21,61
245.0,Deebo Samuel,SFO,WR,11.53,6.29,7,44,48,80.7,98,
107.0,Marquise Brown,BAL,WR,11.44,6.25,16,100,125,183.0,32,
126.0,Russell Gage,ATL,WR,11.32,6.81,16,109,109,181.1,40,
139.0,Laviska Shenault Jr.,JAX,WR,11.22,5.64,14,79,99,157.1,50,
127.0,T.Y. Hilton,IND,WR,10.95,6.2,15,93,108,164.2,41,
231.0,Keke Coutee,HOU,WR,10.88,5.0,8,40,54,87.0,92,
116.0,Michael Gallup,DAL,WR,10.83,6.56,16,105,114,173.3,36,
203.0,John Brown,BUF,WR,10.76,5.78,9,52,64,96.8,77,
125.0,Tim Patrick,DEN,WR,10.75,5.27,15,79,110,161.2,39,
140.0,Christian Kirk,ARI,WR,10.46,5.64,14,79,98,146.4,51,
131.0,Mike Williams,LAC,WR,10.25,5.67,15,85,106,153.7,42,
163.0,Jakobi Meyers,NWE,WR,10.18,5.79,14,81,84,142.5,60,
208.0,Randall Cobb,HOU,WR,10.01,4.8,10,48,62,100.1,79,
129.0,Jerry Jeudy,DEN,WR,9.85,7.06,16,113,106,157.6,43,
200.0,Allen Lazard,GNB,WR,9.78,4.6,10,46,65,97.8,74,
138.0,Keelan Cole,JAX,WR,9.71,5.5,16,88,100,155.4,49,
467.0,Courtland Sutton,DEN,WR,9.6,6.0,1,6,7,9.6,175,
149.0,Darnell Mooney,CHI,WR,9.51,6.12,16,98,91,152.1,55,
285.0,Julian Edelman,NWE,WR,9.37,6.5,6,39,35,56.2,110,
224.0,Preston Williams,MIA,WR,9.35,4.38,8,35,57,74.8,89,
304.0,Chad Hansen,HOU,WR,9.32,4.8,5,24,30,46.6,119,
162.0,Rashard Higgins,CLE,WR,9.3,4.0,13,52,84,120.9,58,
301.0,DeSean Jackson,PHI,WR,8.96,5.2,5,26,31,44.8,116,
172.0,Travis Fulgham,PHI,WR,8.92,5.15,13,67,78,115.9,63,
150.0,Darius Slayton,NYG,WR,8.81,6.0,16,96,91,141.0,56,
241.0,Sammy Watkins,KAN,WR,8.74,5.5,10,55,50,87.4,96,
168.0,Kendrick Bourne,SFO,WR,8.65,4.93,15,74,81,129.7,61,
134.0,Marquez Valdes-Scantling,GNB,WR,8.58,3.94,16,63,104,137.3,44,
146.0,Zach Pascal,IND,WR,8.56,4.44,16,71,93,136.9,54,
136.0,Gabriel Davis,BUF,WR,8.56,3.88,16,62,102,136.9,47,
169.0,Greg Ward,PHI,WR,8.32,4.94,16,79,80,133.1,62,
189.0,Breshad Perriman,NYJ,WR,8.26,5.0,12,60,69,99.1,70,
286.0,Adam Humphries,TEN,WR,8.26,5.0,7,35,35,57.8,111,
174.0,Hunter Renfrow,LVR,WR,8.22,4.81,16,77,76,131.6,64,
155.0,Mecole Hardman,KAN,WR,8.01,3.88,16,62,87,128.1,57,
226.0,Jalen Reagor,PHI,WR,7.93,4.91,11,54,56,87.2,90,
178.0,Josh Reynolds,LAR,WR,7.77,5.06,16,81,72,124.3,65,
250.0,Larry Fitzgerald,ARI,WR,7.76,5.54,13,72,47,100.9,100,
219.0,Michael Pittman Jr.,IND,WR,7.61,4.69,13,61,59,98.9,86,
211.0,Danny Amendola,DET,WR,7.6,4.93,14,69,60,106.4,81,
164.0,David Moore,SEA,WR,7.42,2.94,16,47,84,118.8,59,
191.0,Tre'Quan Smith,NOR,WR,7.36,3.57,14,50,69,103.1,72,
441.0,Parris Campbell,IND,WR,7.35,4.5,2,9,9,14.7,171,
210.0,Willie Snead,BAL,WR,7.25,3.69,13,48,61,94.2,80,
236.0,Golden Tate,NYG,WR,7.21,4.33,12,52,52,86.5,93,
193.0,Damiere Byrd,NWE,WR,7.18,4.81,16,77,68,114.9,73,
205.0,A.J. Green,CIN,WR,6.96,6.5,16,104,64,111.3,75,
213.0,KJ Hamler,DEN,WR,6.93,4.31,13,56,60,90.1,83,
216.0,Anthony Miller,CHI,WR,6.79,4.75,16,76,60,108.7,84,
280.0,Denzel Mims,NYJ,WR,6.74,4.89,9,44,38,60.7,109,
207.0,Demarcus Robinson,KAN,WR,6.72,3.69,16,59,63,107.6,78,
214.0,Tyron Johnson,LAC,WR,6.62,2.17,12,26,60,79.5,85,
223.0,Chris Conley,JAX,WR,6.47,4.2,15,63,57,97.1,88,
222.0,Henry Ruggs III,LVR,WR,6.47,3.31,13,43,58,84.1,87,
185.0,Scott Miller,TAM,WR,6.41,3.31,16,53,70,102.5,68,
